"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","From Pass","To Pass","From Start Lat (deg)","From Start Lon (deg)","From Start Alt (km)","From Stop Lat (deg)","From Stop Lon (deg)","From Stop Alt (km)","To Start Lat (deg)","To Start Lon (deg)","To Start Alt (km)","To Stop Lat (deg)","To Stop Lon (deg)","To Stop Alt (km)","From Pass End","To Pass End","To Object","From Object","To Parent","From Parent"
1 Feb 2024 21:13:15.172,1 Feb 2024 21:24:10.051,654.879,"184","N/A",19.756,-89.891,552.426288,60.817,-92.627,566.270025,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"184","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
1 Feb 2024 22:48:20.802,1 Feb 2024 22:59:58.258,697.456,"185","N/A",17.158,-113.729,551.847809,60.899,-116.644,566.296169,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"185","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
2 Feb 2024 08:50:57.573,2 Feb 2024 09:00:43.219,585.646,"191","N/A",58.148,-84.795,565.395480,21.423,-87.242,552.833640,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"191","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
2 Feb 2024 10:25:42.950,2 Feb 2024 10:37:47.127,724.177,"192","N/A",61.990,-108.549,566.639441,16.576,-111.575,551.727862,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"192","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
2 Feb 2024 12:04:33.735,2 Feb 2024 12:08:04.216,210.481,"193","N/A",50.498,-133.328,562.691170,37.309,-134.208,557.817279,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"193","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
2 Feb 2024 21:09:57.176,2 Feb 2024 21:20:54.057,656.881,"199","N/A",19.667,-90.049,552.405438,60.855,-92.794,566.281903,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"199","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
2 Feb 2024 22:45:05.046,2 Feb 2024 22:56:41.100,696.054,"200","N/A",17.211,-113.897,551.858809,60.864,-116.805,566.284882,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"200","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
3 Feb 2024 08:47:39.747,3 Feb 2024 08:57:28.531,588.784,"206","N/A",58.226,-84.954,565.421388,21.304,-87.414,552.803497,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"206","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
3 Feb 2024 10:22:26.525,3 Feb 2024 10:34:29.935,723.411,"207","N/A",61.980,-108.714,566.636232,16.613,-111.736,551.735544,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"207","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
3 Feb 2024 12:01:22.992,3 Feb 2024 12:04:40.160,197.168,"208","N/A",50.132,-133.517,562.556757,37.778,-134.341,557.985867,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"208","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
3 Feb 2024 21:06:39.197,3 Feb 2024 21:17:38.052,658.855,"214","N/A",19.580,-90.208,552.384937,60.891,-92.961,566.293561,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"214","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
3 Feb 2024 22:41:49.307,3 Feb 2024 22:53:23.935,694.628,"215","N/A",17.264,-114.065,551.870068,60.828,-116.967,566.273446,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"215","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
4 Feb 2024 08:44:21.939,4 Feb 2024 08:54:13.815,591.876,"221","N/A",58.302,-85.113,565.446858,21.186,-87.586,552.773925,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"221","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
4 Feb 2024 10:19:10.107,4 Feb 2024 10:31:12.729,722.622,"222","N/A",61.969,-108.879,566.632879,16.652,-111.898,551.743431,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"222","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
4 Feb 2024 11:58:12.765,4 Feb 2024 12:01:15.578,182.812,"223","N/A",49.733,-133.708,562.410122,38.279,-134.471,558.167121,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"223","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
4 Feb 2024 21:03:21.236,4 Feb 2024 21:14:22.032,660.795,"229","N/A",19.494,-90.366,552.364778,60.927,-93.127,566.304907,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"229","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
4 Feb 2024 22:38:33.586,4 Feb 2024 22:50:06.757,693.172,"230","N/A",17.319,-114.233,551.881587,60.791,-117.129,566.261743,38.834,-104.821,1.814349,38.834,-104.821,1.814349,"230","N/A","To Place Colorado_Springs","From Satellite Satellite511","No Parent","No Parent"
